#gene	Normal1	Normal2	Normal3	Normal4	Normal5	Normal6	Normal7	Normal8	Normal9	Normal10	Normal11	Normal12	Normal13	Ma1	Ma2	Ma3	Ma4	Ma5	Ma6	Ma7	Ma8	Ma9	Ma10	Ma11	Ma12	Ma13	Ma14	Ma15	Ma16	Ma17	Ma18	Ma19	Ma20	Ma21	Ma22
SNW1(ENSG00000100603.13)(protein_coding)	50.38	65.15	73.18	68.9	49.79	61.08	53.24	48.78	53.25	55.38	55.72	46.89	34.98	111.43	46.41	64.04	60.72	63.88	74.98	52.54	78.73	32.67	37.63	45.52	49.44	42.34	67.64	68.35	116.57	38.2	63.18	49.76	55.25	52.88	70.18
SKA3(ENSG00000165480.15)(protein_coding)	0.42	0.29	1.79	0.08	0.64	0.93	1.2	0.4	0.9	0.88	0.16	1.11	0.57	12.89	5.56	0.62	11.46	1.92	8.6	13.62	5.27	3.38	2.62	6.23	4.86	3.58	0.4	2.95	10.47	3.57	22.18	5.19	0.98	1.13	11.64
REV3L(ENSG00000009413.15)(protein_coding)	5.06	4.52	6.36	6.7	5.6	3.39	6.36	12.66	7.79	5.36	7.04	8.64	5.39	4.75	4.09	10.33	4.56	2.67	26.05	6.03	8.58	9.1	4.2	5.05	4.82	5.19	6.73	4.87	3.42	3.61	3.41	8.03	8.13	9.48	5.18
TMEM106A(ENSG00000184988.8)(protein_coding)	3.43	3.59	8.54	4.74	2.31	4.63	4.64	5.16	3.42	5.89	3.19	4.98	2.56	3.82	1.95	3.5	6.27	1.77	4.54	6.14	5.19	4.41	1.7	3.1	14.34	6.77	2.16	7.57	2.54	1.59	10.26	3.39	5.5	4.13	1.59
ADD1(ENSG00000087274.16)(protein_coding)	88.69	85.72	85.11	96.93	97.12	93.53	101.5	98.76	84.22	97.84	133.06	89.2	120.83	106.17	83.62	113.79	48.86	106.52	77.35	80.01	84.42	67.3	66.74	53.44	49.34	87.65	83.98	65.67	83.42	41.11	74.29	58.68	76.24	80.79	76.01
SELP(ENSG00000174175.16)(protein_coding)	18.82	4.27	17.81	17.22	5.42	14.17	7.66	15.25	6.11	12.67	8.9	15.04	5.52	0.65	0.16	8.36	0.17	0.74	0.37	9.81	1.68	0.06	0.14	0.34	1.6	1.44	3.9	1.26	0.07	0	0.07	0.41	11.6	24.63	1.2
CDC23(ENSG00000094880.10)(protein_coding)	15.24	14.54	14.45	10.25	15.58	10.21	17.45	10.17	20.24	13.8	13.18	16.19	11.9	26.76	27.96	17.8	29.25	9.8	51.85	16.62	11.68	9.48	16.3	14.31	16.74	14.8	18.91	14.22	15.59	14.42	28.44	21.93	16.38	17.57	28.4
RP11-325L12.6(ENSG00000277351.1)(antisense)	0.04	0	0.93	0.04	0	0.52	0.53	0	0.69	0.86	1.69	0.98	0	0.53	0.82	0.37	0	3.74	0.91	0.14	0.4	0.13	0	0.11	2.8	0.43	0.44	4.57	0.26	0	0	0.8	0.69	0.5	2.44
AEBP1(ENSG00000106624.8)(protein_coding)	144.09	77.24	228.58	191.61	52.18	125.72	69.39	468.21	111.26	113.01	110.93	161.68	86.23	96.37	56.61	80.65	76.38	100.2	51.12	366.97	230.57	790.35	598.93	330.61	57.51	217.24	149.61	263.5	61.81	3.09	23.34	48.71	587.71	171.46	242.67
COL13A1(ENSG00000197467.13)(protein_coding)	3.96	5.95	2.21	3.83	1.64	4.77	1.16	2.22	6.54	5.5	3.55	2.27	6.64	2.59	1.32	12.36	1.13	7.94	3.09	2.04	8.45	0.37	37.52	16.95	3.16	9.68	4.42	32.87	4.86	2.73	30.14	1.7	15.91	6.55	44.77
COX18(ENSG00000163626.16)(protein_coding)	9.68	8.82	8.09	8.84	6.91	13.03	12.06	8.95	8.31	6.64	6.31	8.49	3.06	7.31	8.95	5.36	4.15	4.68	4.51	7.66	3.4	3.35	8.01	2.81	7.25	4.89	2.54	5.42	4.12	8.32	13.1	10.01	11.09	5	5.7
COX6A1(ENSG00000111775.2)(protein_coding)	444.4	543.25	414.17	504	418.4	445.06	402.53	460.54	359.5	319.49	485.47	291.79	568.28	541.55	497.14	423.06	417.44	623.68	160.71	298.74	374.5	366.33	592.21	360.75	297.3	299.17	235.31	320.47	462.88	399.31	439.29	270.34	119.28	427.79	359.1
LRRC48(ENSG00000171962.17)(protein_coding)	5.63	8.33	1.75	3.73	7.92	8.89	9.53	4.83	5.58	11.08	10.52	7.5	20.73	4.52	1.21	6.42	0.97	7.75	1.08	0.89	1.45	1.8	2.75	0.65	1.08	2.79	1.22	2.72	1.44	1.46	1.15	3.76	1.68	3.15	0.71
EPSTI1(ENSG00000133106.14)(protein_coding)	9.18	6.17	11.86	16.59	3.71	10.12	4.1	12.7	4.75	9.12	4.03	4.99	5.66	101.44	13.04	8.99	37.49	6.71	15.51	56.15	40.85	5.71	10.44	12.35	41.93	9.51	10.46	8.58	10.82	3.09	49.36	7.42	30.79	5.68	1.71
ATOH8(ENSG00000168874.12)(protein_coding)	8.91	9.61	3.71	21.42	5.12	2.77	2.94	13.84	3.01	7.14	10.99	4.85	6.36	5.29	0.73	6.31	0.32	1.77	1.38	1.45	0.97	23.59	14.55	1	0.74	0.69	4.94	1.41	4.43	1.19	0.27	0.82	0.85	2.04	1.96
TRAF3(ENSG00000131323.14)(protein_coding)	6.97	6.88	8.71	4.51	6	7.83	7.65	3.41	6.46	8.18	4.24	7.56	7.14	7.14	5.04	6	7.49	6.92	12.61	12.14	6.08	5.68	8.49	5.68	9.41	5.43	2.86	4.35	15.87	6.94	10.8	4.92	6.02	6.98	5.5
PITRM1(ENSG00000107959.15)(protein_coding)	32.72	29.89	28.38	23.68	30.78	31.14	42.32	33.55	40.38	41.9	37.5	36.04	47.38	17.08	45.17	28.83	43.27	57.26	27.31	25.72	53.48	64.39	16.62	29.02	13.6	17.95	32.32	30.82	44.52	25.37	43.38	38.93	29.38	19.71	20.52
DNAJB6(ENSG00000105993.14)(protein_coding)	151.3	130.86	121.5	143.86	124.13	127.71	167.02	90.26	160.65	120.63	97.65	126.31	125.52	103.1	90.79	184.15	139.22	64.28	153.72	95.11	70	51.59	167.6	120.26	106.9	76.69	127.36	100.73	110.43	104.95	120.98	100.61	82.59	145.5	61.99
LINC01573(ENSG00000237886.1)(antisense)	0.18	3.07	0	1.3	1.72	0.35	0.54	0	0.27	0.29	1.23	0.82	1.49	0.11	0.87	0.64	0.22	3.35	0.11	0.29	0.83	0.07	0	0.11	0.23	0.14	0.05	0.68	0.37	0.04	0.28	1.05	0.08	0.05	0
PHF20(ENSG00000025293.15)(protein_coding)	17.22	23.18	19.77	16.76	18.27	14.76	20.1	10.66	18.73	22.5	15.45	19.01	25.39	26.09	22.71	19.73	15.16	12.09	24.24	20.82	13.72	10.96	15.03	13.14	11.29	15.08	9.98	15.69	29.39	15.18	17.88	15.95	19.67	18.74	26.83
PIAS4(ENSG00000105229.6)(protein_coding)	20.4	23.44	12.19	14.65	13.08	15.42	16.67	17.46	18.05	20.12	15.53	12.95	16.07	33.59	23.8	14.25	14.04	13.87	14.42	10.91	13.52	9.24	24.32	18.86	13.21	26.35	12.3	14.73	17.56	12.68	16.27	10.21	14.59	30.45	29.29
RAD18(ENSG00000070950.9)(protein_coding)	6.65	2.82	3.82	3.31	4.41	7.55	6.79	1.95	7.01	7.37	3.65	6.64	6.51	4.09	8.54	6.11	12.11	2.7	9.11	7.56	7.84	3.27	1.98	3.96	6.41	4.99	3.88	4.92	7.13	7.83	10.47	8.42	3.74	5.88	8.7
CRLF1(ENSG00000006016.10)(protein_coding)	9.65	14.7	10.77	6.15	5.3	24.07	11.23	8.3	8.63	5.27	3.26	31.1	7.5	29.19	15.13	2.98	0	4.02	0.05	3.67	2.86	61.09	132.62	32.74	94.34	13.75	58.44	4.1	19.48	2.4	1.48	11.61	9.35	6.21	330.36
BOLA1(ENSG00000178096.8)(protein_coding)	21.76	33.76	25.91	22.74	25.24	24.72	8.92	30.48	22.36	15.34	21.54	13.57	45.26	25.66	26.37	26.31	3.52	36.1	4.31	10.24	5.34	9.05	9.3	5.17	9.22	13.1	8.18	17.78	11.13	13.12	14.17	12.26	3.16	8.36	18.22
CAPZA2(ENSG00000198898.12)(protein_coding)	124.95	30.37	74.7	84.35	70.95	61.54	134.76	62.8	106.56	93.81	64.74	130.76	35.14	19.73	71.92	90.79	133.89	17.05	59.13	83.99	82.51	33.44	9.89	115.53	85.91	114.34	102.12	35.96	70.28	92.74	82.67	77.79	110.87	137.6	51.31
LDOC1L(ENSG00000188636.3)(protein_coding)	11.31	9.84	10.63	8.25	10.9	15.61	17.66	9.73	13.16	13	9.56	14.78	11.1	13.44	7.97	9.34	3.29	4.56	13.39	11.67	4.39	8.48	12.45	7.3	7.47	13.22	6.98	12.95	11.08	6.89	7.85	16.54	7.75	10.03	9.55
LHPP(ENSG00000107902.13)(protein_coding)	19.74	30.32	30	27.01	18.61	24.48	13.81	24.08	17.68	14.34	14.06	15.3	24.31	8.99	3.79	12.33	3.9	26.92	3.53	5.33	10.51	9.74	6.59	17.17	6.16	14.01	4.53	12	20.61	23.94	11.13	12.3	3.55	13.98	3.4
RP11-849H4.2(ENSG00000254469.7)(protein_coding)	1.22	2.3	2.23	0.95	1.74	0.54	2.34	1.01	2.23	2.72	2.66	2.39	3.5	6.14	2.08	2.27	2.07	0.8	2.54	1.51	0.85	0.76	0.99	1.09	1.54	2	1.4	2	1.95	0.96	2.78	1.13	1.31	0.65	1.08
SIT1(ENSG00000137078.8)(protein_coding)	2.12	5.51	2.16	4.28	3.32	2.66	1.44	1.55	2.36	4.67	3.21	1.99	3.85	0.73	0.61	0.63	0.92	2.06	1.06	9.32	1.44	1.04	0.82	0.29	2.88	0.18	0.1	0.62	0.11	0.06	6.6	0.43	0.81	1.51	0
GDPGP1(ENSG00000183208.12)(protein_coding)	5.38	4.08	4.27	1.68	4.45	2.21	4.26	2.12	3.39	4.58	2.93	4.1	2.82	2.59	0.31	2.62	0.67	6.33	1.42	1.54	0.69	0.77	1.3	0.42	2.13	1.33	1.07	1.95	1.08	2.85	2.43	2.06	1.23	2.65	2.05
PRRX2(ENSG00000167157.10)(protein_coding)	8.06	10.15	21.47	6.52	5.94	25.72	9.06	25.56	5.75	6.56	11.25	13.83	18.13	49.76	101.57	12.21	0.25	44.28	1.61	17.07	8.06	43.8	64.61	21.77	13.54	20.71	33.77	76.95	14.28	0.29	1.25	26.7	5.85	11.81	53.8
MAGOHB(ENSG00000111196.9)(protein_coding)	11.47	12.07	9.95	15.92	12.09	15.13	12.73	19.55	9.19	11.65	8.1	11.82	22.64	27.16	64.23	15.58	25.57	11.82	14.87	22.17	38.26	14.39	20.83	25.29	24.29	12.51	19.1	22.51	25.54	10.12	20.79	21.64	20.94	15.99	19.67
RNF25(ENSG00000163481.7)(protein_coding)	20.85	20.83	11.93	13.67	22.75	21.88	14.54	18.7	13.45	16.94	20.96	12.76	35.89	28.46	22.35	16.98	26.03	28.98	18.4	21.7	43.67	19.48	28.41	14.34	15.91	29.03	29.63	22.97	12.56	10.09	18.66	11.28	16.68	31.31	23.88
TRIP6(ENSG00000087077.11)(protein_coding)	70.85	118.97	88.92	87.74	76.47	86.45	51.38	82.87	92.63	67.77	60.27	53.48	119.73	57.18	45.45	57.54	24.94	100.78	35.96	43.13	66.28	56.06	248.35	39.7	33.74	49.38	23.83	66.54	26.72	76.42	69.88	50.89	13.1	46.56	37.41
PI16(ENSG00000164530.13)(protein_coding)	113.77	27.91	60.85	44.14	43.08	72.07	17.65	115.46	21	7.19	43.72	168.92	9.92	0.29	3.01	60.53	0.03	105.52	0.28	63.74	179.25	0.49	0.78	0.04	59.55	77.47	430.28	5.79	0.29	0.05	0.08	266.03	30.91	1.02	18.81
SLC25A44(ENSG00000160785.13)(protein_coding)	7.85	7.45	9.04	9.49	8.13	9.29	12.28	5.61	7.35	7.72	7.91	9.61	7.63	9.71	15.84	10.01	10.61	10.66	11.97	7.5	9.09	5.81	16.15	10.79	10.49	11.06	5.28	7.89	9.41	5.56	10.08	7.87	11.88	11.27	13.06
CYTIP(ENSG00000115165.9)(protein_coding)	4.64	4.89	5.5	6.22	3.03	2.65	2.17	1.52	4.15	7.35	3.2	2.73	0.97	2.13	1.14	1.65	9.4	1.99	3.27	11.74	3.53	1.76	0.47	3.87	8.47	3.16	0.58	1.63	10.67	1.73	9.87	4.06	5.99	3.46	1.29
SQLE(ENSG00000104549.11)(protein_coding)	7.41	7.52	5.82	3.94	6.8	12.56	35.74	4.74	8.83	10.92	8.02	9.89	7.64	7.7	13.32	14.5	51.8	6.42	47.36	21.5	44.26	11.45	30.14	88.62	31.12	15.78	7.98	17.14	45.58	6.64	45.19	18.98	13.3	21.82	28.26
MFHAS1(ENSG00000147324.10)(protein_coding)	3.12	3.64	3.2	4.04	2.16	3.5	2.41	6.82	3.09	3	2.12	3.17	1.28	3.27	5.52	3.65	4.4	1.67	10.28	4.88	5.32	2.94	5.92	2.24	3.1	4.4	1.53	4.13	8.17	2.83	7.96	3.5	3.27	2.72	2.1
CTC-297N7.7(ENSG00000214970.8)(antisense)	0	1.12	0	1.17	0.08	0	0	1.57	0.23	0	0	0.24	0	0	1.32	0.28	0	0	2.09	0.42	0.24	0.11	0	0	0.48	0.03	0.97	0.72	0	0	0.13	1.26	0.49	0.3	0.17
PRRC2A(ENSG00000204469.12)(protein_coding)	49.1	55.86	56.99	42.05	67.48	79.85	76.59	47.47	62.26	74.71	64.11	57.76	81.81	146.83	67.74	49.17	49.19	95.16	99.71	44.66	33.91	47.1	170.69	74.56	53.41	63.76	24.57	70.45	169.06	37.8	66.96	54.19	40.77	58.11	72.56
MACROD2(ENSG00000172264.16)(protein_coding)	3.37	5.25	0.7	1.38	2.24	2.81	2.22	1.62	6.64	9.71	2.67	3.29	2.04	3.4	0.18	2.34	0.7	0.43	2.91	2.46	1.05	0.66	1.06	1.48	0.17	1.24	3.08	1.44	3.11	2.69	0.83	1.9	0.64	3.62	0.61
ZC3H12B(ENSG00000102053.12)(protein_coding)	1.27	0.28	0.47	0.2	1.12	0.57	1.05	1.75	0.84	0.97	0.88	1.15	0.16	1.07	0.59	1.96	0.01	0.33	1.93	0.22	0.23	0.49	0.7	0	0.88	0.97	1.24	0.76	0.47	0.12	0.11	1.66	1.59	0.69	1.44
PURA(ENSG00000185129.5)(protein_coding)	4.03	2.15	4.02	1.64	4.54	3.15	7.87	3.85	6.47	6.24	4.85	6.29	1.87	1.93	1.9	4.68	2.65	1.45	3.8	3.35	1.62	1.85	3.69	2.68	5.68	2.26	4.91	2.98	2.03	2.36	6.73	4.97	4.18	3.66	2.94
SERPINB8(ENSG00000166401.13)(protein_coding)	4.1	4.95	5.54	6.61	5.27	5.42	5.15	3.29	2.93	2.4	2.69	4.24	1.58	2.84	1.82	2.48	20.31	0.94	1.94	8.71	14.21	5.54	0.9	5.16	4.68	3.34	3.16	2.16	3.61	10.17	23.59	4.1	9.88	6.22	0.61
BUB1(ENSG00000169679.14)(protein_coding)	0.58	0.99	3.01	0.53	0.68	3.26	0.96	3.02	1.27	1.47	0.48	1	0.35	13.89	17.38	1.18	16.35	0.83	43.47	18.92	7.52	7.24	21.76	10.6	14.03	7.54	0.28	4.57	30.28	6.72	26.97	10.99	4.51	1.32	26.97
SUMF2(ENSG00000129103.17)(protein_coding)	77.78	93.28	83.11	81.1	74.47	84.44	56.22	83.76	72.24	70.16	74.45	61.49	81.21	84.07	68.48	62.35	42.89	67.17	31.24	43.19	73.01	63.2	137.76	67.41	29.83	53.85	24.45	59.29	73.35	61.98	80.36	45.74	235.51	51.44	84.99
PKD1(ENSG00000008710.17)(protein_coding)	35.61	31.08	42.74	39.94	48.97	60.23	34.52	40.93	44.04	45.99	51.99	29.4	71.37	60.54	37.54	28.5	7.99	66.3	24.57	21.41	11.39	56.16	113.55	37.7	28.07	21.62	17.35	110.25	23.33	14.99	26.01	28.25	9.1	26.78	30.65
CYC1(ENSG00000179091.4)(protein_coding)	59.56	79.87	68.63	87.38	50.75	62.51	50.66	43.45	51.49	49.42	57.52	38.43	60.06	88.87	97.42	58.22	68	70.9	54.17	57.17	69.53	66.82	250.39	112.81	37.46	46.62	28.4	57.56	230.29	49.42	124.03	48.41	15.03	53.55	85.46
SURF4(ENSG00000148248.13)(protein_coding)	64.7	60.34	76.33	77.62	56.22	67.35	90.12	57.62	59.78	57.26	51.01	64.83	57.06	77.39	145.04	50.03	144.28	59.86	57.69	132.25	108.49	101.8	168.62	238.32	111.73	90.29	47.35	104.76	66.85	64.67	134.13	71.09	83.52	80.04	137.9
CEBPD(ENSG00000221869.4)(protein_coding)	15.5	40.79	55.35	72.39	36.81	19.99	6.86	35.88	11.21	17.19	39.83	21.47	36.47	10.16	6.99	21.3	7.09	31.29	3.04	4.23	6.21	19.85	63.36	18.02	17.54	10.47	7.84	5.78	107.53	18.62	5.71	29.25	1.43	12.32	9.58
ZNF304(ENSG00000131845.14)(protein_coding)	5.26	5.35	4.9	4.03	6.79	5.01	7.02	4.36	6.64	7.91	7.27	7.53	4.11	7.16	6.23	7.64	2.83	5.26	7.26	4.16	2.5	2.54	4.13	3.7	3.84	3.24	0.95	4.52	3.08	4.82	3.13	5.22	5.13	4.97	4.83
LARP6(ENSG00000166173.10)(protein_coding)	14.41	21.58	16.91	32.89	9.37	10.82	5.25	17.09	7.14	12.5	12.54	7.04	9.33	39	15.58	12.39	6.53	8.46	13.82	11.23	16.85	17.99	13.74	20.99	8.35	11.07	18.32	25.87	18.62	5.34	66	7.02	23.47	10.28	30.18
ALG3(ENSG00000214160.9)(protein_coding)	22.63	30.21	23.38	21.36	26.16	23.28	32.2	18.04	24.35	21.79	19.75	19.12	30.11	42.17	55.86	26.45	58.92	35.31	37.41	23.84	37.75	27.95	46.5	34.83	39.41	19.98	8.52	20.09	30.33	29.35	42.98	27.63	13.59	16.94	24.65
CENPH(ENSG00000153044.9)(protein_coding)	5.22	5.02	5.84	3.24	2.87	5.85	7.11	6.74	6.52	7.69	5.99	4.79	7.32	88.41	37.93	3.24	22.77	14.4	31.19	6.62	9.79	8.73	11.64	10.25	9.74	8.74	2.14	7.06	12.51	12.03	35.55	8.6	5.61	3.01	26.38
FUCA1(ENSG00000179163.11)(protein_coding)	29.29	33.36	31.95	65.44	12.64	15.41	14.5	22.17	23.16	27.98	31.8	28.02	22.71	8.63	17.52	26.8	48.03	16.06	40.82	26.1	28.27	11.85	10.95	11.66	12.2	30.42	9.35	6.84	11.16	15.12	22.58	13.82	41.74	18	10.85
ELAVL2(ENSG00000107105.14)(protein_coding)	1.24	0	0.36	1.44	0.17	0.09	0.65	0	0.18	0.16	0.1	0.29	0.23	0.99	0.57	1.42	0.15	0	3.38	0.67	0.23	2.36	1.7	0.63	0.2	0.54	1.02	0.27	2.02	1.26	2.84	0.83	0.64	0.64	1.23
OVCH2(ENSG00000183378.11)(protein_coding)	6.84	6.5	0.3	8.43	15.6	3.33	4.98	0.89	13.04	17.78	6.44	2.85	18	0	0	3.22	0.41	0.34	0.06	0.35	1.17	0.05	0.08	0	0	0.06	0.16	0.53	0.02	0.65	0	0.78	0.37	1.09	0
FBXO39(ENSG00000177294.6)(protein_coding)	0.83	0.49	0.45	0.47	0.16	1.37	0.98	0.93	0.59	0.25	0.04	0.95	1.21	3.75	3.02	2.04	0.17	0.19	0.53	0.36	0.44	0.24	0.37	0.08	0.82	1.76	0.68	1.93	0.09	0	0.24	1.75	3.68	0.13	4.42
USP5(ENSG00000111667.13)(protein_coding)	46.81	46.42	42.17	38.29	41.11	57.85	70.3	57.69	40.05	54.55	34.53	43.3	54.49	136.06	55.51	50.47	72.82	54.94	73.02	50.34	52.12	34.7	87.71	63.71	22.07	49.79	27.42	50.54	92.1	26.83	29.5	21.09	28.76	77.08	39.42
B4GALT2(ENSG00000117411.16)(protein_coding)	20.3	28.3	28.73	24.99	16.29	36.24	24.97	37.19	17.63	16.88	19.4	19.33	34.65	32.61	36.55	23.67	23.69	39.59	35.16	49.72	29.57	63.78	96.44	25.64	37.25	27.6	13.64	51.65	40.5	25.98	53.78	33.25	21.28	27.99	36.28
LMTK2(ENSG00000164715.5)(protein_coding)	3.56	3.68	2.95	2.94	4.97	3.37	7.24	2.53	5.39	5.11	4.27	5.21	4.74	2.98	2.27	4.22	2.04	3.75	5.55	2.49	1.69	1.41	4.58	2.36	3.43	3.02	4.08	2.86	2.95	4.09	2.8	3.66	3.54	4.13	2.73
ACSM1(ENSG00000166743.9)(protein_coding)	2.36	3.4	3.38	0.21	9.49	4.14	18.65	3.22	1.92	0.59	3.59	7.39	9.84	0.02	0.04	3.5	0.02	5.51	0.06	0.13	0.71	0.06	0	0.09	0.1	0.81	0.04	0.37	0	1.23	0	2.15	0.23	16.93	0
POLR1D(ENSG00000186184.15)(protein_coding)	69.87	92.4	59.28	63.86	83.77	62.84	54.58	86.37	77.14	78.41	88.06	51.6	97.33	119.05	35.95	58.32	61.35	80.92	36.92	52.56	57.66	61.38	30.75	38.15	35.02	58.84	44.36	44.81	114.4	82.68	46.6	57.07	27.69	56.2	67.1
NSD1(ENSG00000165671.18)(protein_coding)	8.01	10.33	10.29	8.18	8.82	11.59	17.16	6.88	13.99	12.93	9.56	16.12	7.96	19.38	11.71	12.33	10.72	9.19	24.84	15.38	5.09	6.4	10.3	10.53	12.5	11.12	9.55	11.18	18.25	7.6	12.22	17.23	17.62	10.62	16.41
USF1(ENSG00000158773.14)(protein_coding)	44.53	52.95	41.48	48.64	54.93	57.13	35.99	39.77	40.69	49.72	53.87	35	50.03	82.93	94.81	56.86	27.29	97.08	57.87	33.78	23.77	18.1	129.19	18.7	41.55	26.83	21.84	54.63	45.61	17.03	45.3	28.23	57.83	26.75	59.53
MID2(ENSG00000080561.13)(protein_coding)	6.66	5.43	5.57	6.45	4.37	5.63	9.19	4.9	9.47	6.26	3.87	8.35	4.92	2.39	1.29	6.91	0.51	4.13	13.1	2.96	0.99	2.36	1.42	4	7.07	8.84	1.23	2.54	2.04	3.02	2.62	6.56	9.56	7.37	1.47
NR2F1(ENSG00000175745.11)(protein_coding)	32.31	60.28	42.71	37.34	28.04	48.15	20.38	112.18	46.36	72.76	64.45	57.37	22.48	820.94	172.27	108.96	3.8	112.78	8.21	9.47	32.69	11.85	59.38	2.14	49.91	219.36	2.77	192.19	30.68	0.64	2.92	41.93	74.15	18.79	88.68
DYSF(ENSG00000135636.13)(protein_coding)	5.51	3.37	11.46	9.02	4.54	3.76	3.47	9	3.47	5.63	3.48	5.27	3.73	7.17	12.27	7.2	11.96	5.49	6	8.72	17	7.63	6.83	14.11	12.62	8.95	11.46	10.07	10.75	4.15	6.79	6.84	10.14	8.73	6.74
GFER(ENSG00000127554.12)(protein_coding)	11.86	14.46	11.27	12.92	20.99	17.2	9.48	17.24	12.49	15.49	19.25	8.5	6.76	18.87	10.58	9.71	4.05	12.49	10.9	9.64	7.97	12.54	9.99	5.03	11.26	11.11	5.13	14.95	11.61	22.03	18.36	9.53	5.34	15.46	9.7
FAM95C(ENSG00000273036.2)(lincRNA)	1.41	1.21	0.76	1.41	10.35	3.58	5.52	2.61	2.3	2.99	6.76	1.56	10.84	0.03	0	2.07	0.05	9.43	0.6	0.08	0.17	0	1.24	0	0.04	0.07	0	0.35	2.66	0.88	0.02	1.03	0.19	0.59	0
CALHM2(ENSG00000138172.10)(protein_coding)	50.02	32.75	49.23	58.86	28.71	28.78	21.27	54.57	27.09	30.7	23.86	29.65	26.56	15.27	18.13	41.46	9.68	21.87	4.68	42.55	32.64	36.6	41.41	27.42	16.73	16.71	51.03	25.26	8.99	11.81	39.52	20.12	32.12	27.17	18.26
TTC8(ENSG00000165533.18)(protein_coding)	27.13	34.06	25.56	22.86	31.77	31.56	39.4	18.33	26.42	23.71	23.2	33.88	12.58	24.71	14.3	19.49	16.93	29.39	9.05	13.56	35.82	7.73	10.63	8.52	20.39	48.62	9.32	22.29	12.97	18.39	21.19	45.31	19.98	33.93	33.57
